value,time
4.000566,0
7.391435,0.005
-9.340158,0.01
-1.731468,0.015
5.689153,0.02
9.87088,0.025
8.713779,0.03
6.189502,0.035
16.86329,0.04
10.03116,0.045
18.95686,0.05
22.34554,0.055
3.558526,0.06
10.1943,0.065
12.68915,0.07
12,0.075
5.747487,0.08
0.310847,0.085
5.919299,0.09
-2.919299,0.095
5.90298,0.1
7.391435,0.105
-7.391435,0.11
0.2170171,0.115
4.520127,0.12
5.852413,0.125
1.782983,0.13
-1.689153,0.135
5.919299,0.14
-2.010125,0.145
8,0.15
11.39143,0.155
-5.393642,0.16
2.11283,0.165
6.579705,0.17
8,0.175
3.615776,0.18
-0.7176461,0.185
6.919299,0.19
-0.9192991,0.195
10.96509,0.2
19.25319,0.205
11.60857,0.21
32.14605,0.215
54.68915,0.22
76.91421,0.225
91.78298,0.23
99.31084,0.235
108.9193,0.24
92.08001,0.245
82,0.25
61.39143,0.255
18.60856,0.26
4.085177,0.265
-8.291375,0.27
-18.89252,0.275
-17.21702,0.28
-14.65929,0.285
-2.080701,0.29
-5.889462,0.295
4,0.3
9.209737,0.305
-6.497678,0.31
0.2170171,0.315
4.67718,0.32
5.905847,0.325
1.782983,0.33
-4.596254,0.335
2.919299,0.34
-4.810804,0.345
4.11204,0.35
7.391435,0.355
-9.336447,0.36
-1.782983,0.365
2.815233,0.37
4,0.375
-0.2170171,0.38
-4.606074,0.385
2.919299,0.39
-2.919299,0.395
6,0.4
10.3498,0.405
-6.500018,0.41
2.217017,0.415
-0.310847,0.42
9,0.425
4.725787,0.43
1.154967,0.435
9.825565,0.44
3.080701,0.445
12.95949,0.45
17.37742,0.455
1.608565,0.46
9.217017,0.465
14.68915,0.47
15.97515,0.475
12.69874,0.48
8.310847,0.485
15.71147,0.49
8.964203,0.495
19,0.5
24.39144,0.505
9.481881,0.51
19.21702,0.515
25.68915,0.52
28.88257,0.525
27.77681,0.53
25.31085,0.535
34.87095,0.54
29.94695,0.545
42,0.55
47.33642,0.555
33.5737,0.56
43.21702,0.565
50.68467,0.57
53.96286,0.575
52.68081,0.58
50.22982,0.585
58.81795,0.59
52.02118,0.595
62,0.6
65.39143,0.605
49.55463,0.61
57.20523,0.615
60.68915,0.62
62,0.625
56.78298,0.63
52.31085,0.635
57.88591,0.64
48.0807,0.645
54.93914,0.65
55.20654,0.655
34.55237,0.66
39.21702,0.665
39.65469,0.67
38,0.675
29.78298,0.68
22.25212,0.685
26.9193,0.69
16.0807,0.695
22,0.7
22.30147,0.705
3.544858,0.71
9.217017,0.715
11.68915,0.72
11.99836,0.725
5.782983,0.73
-0.7009329,0.735
5.919299,0.74
-2.919299,0.745
6,0.75
7.391435,0.755
